ID,Brand,Name,Original Price,Price,Category,site
22102420,As you,Черные сетчатые леггинсы-капри со сборками AS YOU,1190,1190,Леггинсы,asos
22102396,As you,Бюстгальтер-топ со змеиным принтом AS YOU,1190,1190,Топ,asos
22034812,As you,Черный облегающий комбинезон в рубчик с открытыми плечами и декоративным швом под грудью AS YOU,1990,1990,Комбинезон,asos
22034437,As you,Черная юбка миди с ремешками AS YOU,1190,1190,Юбка,asos
22216450,New look,Черное платье мини в горошек с оборками New Look Petite,1760,1760,Платье,asos
22153022,Kavu,Худи черного цвета с принтом на спине Kavu,5790,5790,Худи,asos
22133429,As you,Черная мини-юбка с декоративными ремешками AS YOU,990,990,Юбка,asos
22113820,Asos design,Набор из двух пар боксеров из микрофибры серо-коричневого и черного цвета ASOS DESIGN,990,990,Набор,asos
22102420,As you,Черные сетчатые леггинсы-капри со сборками AS YOU,1190,1190,Леггинсы,asos
22102396,As you,Бюстгальтер-топ со змеиным принтом AS YOU,1190,1190,Топ,asos
22034812,As you,Черный облегающий комбинезон в рубчик с открытыми плечами и декоративным швом под грудью AS YOU,1990,1990,Комбинезон,asos
22034437,As you,Черная юбка миди с ремешками AS YOU,1190,1190,Юбка,asos
22021718,The north face,Белый лонгслив The North Face – эксклюзивно на ASOS,3390,3390,Лонгслив,asos
22007294,New look,Коричневый топ с расклешенными рукавами и завязками сзади New Look,1290,1290,Топ,asos
22004330,Asyou,Серо-коричневое платье мини с открытой спиной из фактурной ткани в рубчик ASYOU,1790,1790,Платье,asos
22002980,As you,Черные брюки с завышенной талией AS YOU,2390,2390,Брюки,asos
22002447,As you,Присборенное облегающее платье-бандо синего цвета AS YOU,1790,1790,Платье,asos
22002443,As you,Светло-бежевое платье-свитшот в стиле oversized с графикой AS YOU,2190,2190,Платье,asos
21991618,Vila,Атласная рубашка от комплекта Vila,3390,3390,Рубашка,asos
21988890,New look,2 пары черных леггинсов New Look Curve,1590,1590,Леггинс,asos
21987165,As you,Светло-коричневый боди в рубчик с декоративным швом под грудью AS YOU,1790,1790,Боди,asos
21987160,As you,Черное боди в рубчик с декоративным швом под грудью AS YOU,1790,1790,Боди,asos
21987148,As you,Светло-коричневый топ в рубчик с квадратным вырезом AS YOU,1790,1790,Топ,asos
21984044,Outrageous fortune,Черное свободное платье мини со сборками и пышными рукавами Outrageous Fortune Maternity,3890,3890,Платье,asos
21973372,Noisy may,Джоггеры с принтом тай-дай зеленого и черного цвета от комплекта Noisy May Petite,2690,2690,Комплект,asos
21972585,Only,Черные леггинсы в рубчик Only Petite,2490,2490,Леггинсы,asos
21840884,Monki,Короткий пуховик бежевого цвета Monki Sue,3890,3890,Пуховик,asos
21836981,Collusion,Атласный топ черного цвета с завязкой на шее COLLUSION,890,890,Топ,asos
21796575,Asos design,"Платье мини с запахом, длинными рукавами и цветочным принтом оранжевого и голубого цвета ASOS DESIGN Petite",2690,2690,Платье,asos
21778717,Pepe jeans,Черная футболка с надписью Dua Lipa x Pepe Jeans,3390,3390,Футболка,asos
21778207,Pepe jeans,Сине-зеленая полупрозрачная рубашка-поло с эффектом «металлик» Dua Lipa x Pepe Jeans,6290,6290,Рубашка,asos
21759551,River island,Красная куртка-авиатор со вставками из искусственной овчины River Island,8190,8190,Куртка,asos
